book_title,book_authors,book_format,book_isbn,book_pages,book_rating,book_rating_count
A Christmas Carol,Charles Dickens|Joe L. Wheeler,Paperback,978315741791,104 ,4.03,501367
Club Dead,Charlaine Harris,Mass Market Paperback,978315741792,274 ,4.03,204330
Lover Revealed,J.R. Ward,Mass Market Paperback,978315741793,455 ,4.3,112234
Bury My Heart at Wounded Knee: An Indian History of the American West,Dee Brown,Paperback,978315741794,509 ,4.22,48845
Angle of Repose,Wallace Stegner,Paperback,978315741795,569 ,4.27,46017
"I'd Tell You I Love You, But Then I'd Have to Kill You",Ally Carter,Hardcover,978315741796,284 ,3.82,164756
The Elegance of the Hedgehog,Muriel Barbery|Alison Anderson,Paperback,978315741797,325 ,3.75,129250
Ivanhoe,Walter Scott,Paperback,978315741798,544 ,3.75,77087
Queen of Shadows,Sarah J. Maas,Hardcover,978315741799,648 ,4.59,155679
Scarlet,Marissa Meyer,Hardcover,978315741800,454 ,4.3,248904
Anthem,Ayn Rand,Paperback,978315741801,105 ,3.62,116408
The Aeneid,Virgil|Robert Fitzgerald,Paperback,978315741802,442 ,3.82,94509
Lover Avenged,J.R. Ward,Hardcover,978315741803,527 ,4.38,97183
Jude the Obscure,Thomas Hardy,Paperback,978315741804,310 ,3.81,53998
Linger,Maggie Stiefvater,Hardcover,978315741805,360 ,3.91,139784
The Jungle Books,Rudyard Kipling|Alev Lytle Croutier,Paperback,978315741806,368 ,4.01,79167
My Name Is Asher Lev,Chaim Potok,Paperback,978315741807,369 ,4.19,32792
Watchers,Dean Koontz,Paperback,978315741808,624 ,4.17,126064
Living Dead in Dallas,Charlaine Harris,Mass Market Paperback,978315741809,291 ,3.97,217988
Odd Thomas,Dean Koontz,Paperback,978315741810,446 ,3.95,226206
Cosmos,Carl Sagan,Mass Market Paperback,978315741811,384 ,4.36,95475
The Sirens of Titan,Kurt Vonnegut,Paperback,978315741812,224 ,4.16,95214
The Alienist,Caleb Carr,Paperback,978315741813,498 ,4.06,121166
Inferno,Dan Brown,Hardcover,978315741814,461 ,3.82,394746
From the Mixed-Up Files of Mrs. Basil E. Frankweiler,E.L. Konigsburg,Paperback,978315741815,178 ,4.15,157641
Ender's Shadow,Orson Scott Card,Paperback,978315741816,469 ,4.31,135928
Assassin's Apprentice,Robin Hobb,Mass Market Paperback,978315741817,460 ,4.15,188156
"Freakonomics: A Rogue Economist Explores the Hidden Side of Everything (Freakonomics, #1)",Steven D. Levitt|Stephen J. Dubner,Hardcover,978315741818,320 ,3.95,594154
One Day,David Nicholls,Hardcover,978315741819,435 ,3.78,261571
The Power of Myth,Joseph Campbell|Bill Moyers,Paperback,978315741820,320 ,4.3,37574
Gift from the Sea,Anne Morrow Lindbergh,Paperback,978315741821,130 ,4.17,37180
The Story of My Life,Helen Keller,Paperback,978315741822,240 ,4.07,117294
Song of Solomon,Toni Morrison,Paperback,978315741823,337 ,4.03,70986
The Corrections,Jonathan Franzen,Paperback,978315741824,653 ,3.79,141320
Under the Dome,Stephen King,Hardcover,978315741825,1074 ,3.9,223214
The Bluest Eye,Toni Morrison,Paperback,978315741826,216 ,4,131767
The Portrait of a Lady,Henry James|Patricia Crick,Paperback,978315741827,797 ,3.77,63984
Night,Elie Wiesel|Marion Wiesel|François Mauriac,Paperback,978315741828,120 ,4.31,816764
Cryptonomicon,Neal Stephenson,Paperback,978315741829,1139 ,4.25,88413
Walk Two Moons,Sharon Creech,Paperback,978315741830,280 ,3.96,138979
"One Fish, Two Fish, Red Fish, Blue Fish",Dr. Seuss,Hardcover,978315741831,64 ,4.12,138595
Princess Academy,Shannon Hale,Paperback,978315741832,314 ,4.02,92379
Because of Winn-Dixie,Kate DiCamillo,Paperback,978315741833,182 ,4.02,174079
The Namesake,Jhumpa Lahiri,Paperback,978315741834,291 ,3.97,206476
Hard-Boiled Wonderland and the End of the World,Haruki Murakami|Alfred Birnbaum,Paperback,978315741835,400 ,4.15,88101
Digital Fortress,Dan Brown,Paperback,978315741836,510 ,3.63,494085
The Magic Mountain,Thomas Mann|John E. Woods,Paperback,978315741837,706 ,4.14,28623
A Monster Calls,Patrick Ness|Jim Kay|Siobhan Dowd,Hardcover,978315741838,226 ,4.37,162261
گم شده ای در مه,سید مرتضی مصطفوی,,978315741839,82 ,4.12,923
Finale,Becca Fitzpatrick,Hardcover,978315741840,464 ,4.21,122845
A Canticle for Leibowitz,Walter M. Miller Jr.,Paperback,978315741841,335 ,3.98,79536
Mary Poppins,P.L. Travers|Mary Shepard,Hardcover,978315741842,209 ,4.04,96254
An Abundance of Katherines,John Green,Hardcover,978315741843,229 ,3.61,389386
The Sisterhood of the Traveling Pants,Ann Brashares,Hardcover,978315741844,294 ,3.77,569828
Howards End,E.M. Forster,Paperback,978315741845,246 ,3.96,66303
Battle Royale,Koushun Takami|Yuji Oniki,Paperback,978315741846,617 ,4.25,45430
Dreamfever,Karen Marie Moning,Hardcover,978315741847,386 ,4.42,82385
Howl and Other Poems,Allen Ginsberg|William Carlos Williams,Hardcover,978315741848,56 ,4.14,83155
City of Ashes,Cassandra Clare,Hardcover,978315741849,453 ,4.2,637126
Fire,Kristin Cashore,Hardcover,978315741850,480 ,4.12,145022
I Am the Messenger,Markus Zusak,Paperback,978315741851,360 ,4.08,116027
Something Wicked This Way Comes,Ray Bradbury,Mass Market Paperback,978315741852,293 ,3.95,80596
Reflected in You,Sylvia Day,Paperback,978315741853,338 ,4.33,288683
It's Kind of a Funny Story,Ned Vizzini,Paperback,978315741854,444 ,4.13,186355
Starship Troopers,Robert A. Heinlein,Mass Market Paperback,978315741855,335 ,4,163109
Cold Sassy Tree,Olive Ann Burns,Paperback,978315741856,391 ,4,92112
Collected Fictions,Jorge Luis Borges|Andrew Hurley,Paperback,978315741857,565 ,4.59,17750
The Moon is a Harsh Mistress,Robert A. Heinlein,Paperback,978315741858,288 ,4.17,94153
Ruby Red,Kerstin Gier|Anthea Bell,Hardcover,978315741859,324 ,4.12,92256
Crank,Ellen Hopkins,Paperback,978315741860,537 ,4.16,114562
The Death Cure,James Dashner,Hardcover,978315741861,325 ,3.77,289363
The Awakening,Kelley Armstrong,Hardcover,978315741862,360 ,4.15,102040
Gabriel's Inferno,Sylvain Reynard,Paperback,978315741863,506 ,4.01,133358
Unravel Me,Tahereh Mafi,Hardcover,978315741864,461 ,4.27,137975
The Reckoning,Kelley Armstrong,Mass Market Paperback,978315741865,391 ,4.21,101700
Walking Disaster,Jamie McGuire,Paperback,978315741866,448 ,4.23,152791
Cress,Marissa Meyer,Hardcover,978315741867,552 ,4.45,217699
Illusions: The Adventures of a Reluctant Messiah,Richard Bach,Paperback,978315741868,144 ,4.14,50675
Sense and Sensibility,Jane Austen|Tony Tanner|Ros Ballaster,Paperback,978315741869,409 ,4.06,838944
The Invention of Hugo Cabret,Brian Selznick,Hardcover,978315741870,525 ,4.23,145698
Death on the Nile,Agatha Christie,Paperback,978315741871,214 ,4.08,87993
Tender Is the Night,F. Scott Fitzgerald,Paperback,978315741872,431 ,3.83,97309
The Restaurant at the End of the Universe,Douglas Adams,Paperback,978315741873,250 ,4.22,193358
Ethan Frome,Edith Wharton,Paperback,978315741874,99 ,3.38,95208
Revolutionary Road,Richard Yates,Paperback,978315741875,355 ,3.9,70176
Antigone,Sophocles|J.E. Thomas,Paperback,978315741876,80 ,3.61,85952
Daughter of the Forest,Juliet Marillier,Paperback,978315741877,554 ,4.28,47591
Specials,Scott Westerfeld,Hardcover,978315741878,384 ,3.77,156790
The Golden Lily,Richelle Mead,Hardcover,978315741879,418 ,4.36,96561
The Witch of Blackbird Pond,Elizabeth George Speare,Paperback,978315741880,256 ,3.98,121096
The Two Towers,J.R.R. Tolkien|Peter Beagle,Paperback,978315741881,322 ,4.43,584688
The Sea of Tranquility,Katja Millay,Kindle Edition,978315741882,426 ,4.33,72494
The Hotel New Hampshire,John Irving,Paperback,978315741883,520 ,3.9,53303
Small Gods,Terry Pratchett,Paperback,978315741884,400 ,4.28,88823
A Million Little Pieces,James Frey,Paperback,978315741885,432 ,3.63,197835
Twenty Thousand Leagues Under the Sea,Jules Verne|Anthony Bonner,Hardcover,978315741886,394 ,3.87,164861
Dandelion Wine,Ray Bradbury,Paperback,978315741887,239 ,4.09,45337
Exodus,Leon Uris,Paperback,978315741888,608 ,4.34,84177
One Foot in the Grave,Jeaniene Frost,Mass Market Paperback,978315741889,357 ,4.31,85885
Guilty Pleasures,Laurell K. Hamilton,Paperback,978315741890,355 ,4.02,122769
The Sparrow,Mary Doria Russell,Paperback,978315741891,516 ,4.17,49796
Kane and Abel,Jeffrey Archer,Paperback,978315741892,592 ,4.28,86581
I'll Give You the Sun,Jandy Nelson,Hardcover,978315741893,371 ,4.13,201056
Words of Radiance,Brandon Sanderson,Hardcover,978315741894,1087 ,4.77,141008
Burned,P.C. Cast|Kristin Cast,Paperback,978315741895,323 ,3.98,133828
Still Alice,Lisa Genova,Paperback,978315741896,292 ,4.31,264496
Forrest Gump,Winston Groom,Paperback,978315741897,248 ,4.06,54024
The Lies of Locke Lamora,Scott Lynch,Hardcover,978315741898,499 ,4.3,165303
Definitely Dead,Charlaine Harris,Mass Market Paperback,978315741899,342 ,4.02,178587
"Night World, No. 1",L.J. Smith,Paperback,978315741900,729 ,4.05,59682
"Absalom, Absalom!",William Faulkner,Paperback,978315741901,320 ,3.96,34826
The Forgotten Garden,Kate Morton,Paperback,978315741902,648 ,4.13,169396
Nausea,Jean-Paul Sartre|Lloyd Alexander|Hayden Carruth,Hardcover,978315741903,178 ,3.92,68820
The Agony and the Ecstasy,Irving Stone|שמואל שניצר,Mass Market Paperback,978315741904,776 ,4.07,70755
Opal,Jennifer L. Armentrout,Paperback,978315741905,382 ,4.32,108603
"The Poetry of Robert Frost (Collected Poems, Complete & Unabridged)",Robert Frost|Edward Connery Lathem,Paperback,978315741906,607 ,4.23,36937
Ficciones,Jorge Luis Borges|Anthony Kerrigan|Anthony Bonner,Paperback,978315741907,174 ,4.46,39879
The Lucky One,Nicholas Sparks,Hardcover,978315741908,326 ,4.11,302264
Christy,Catherine Marshall,Paperback,978315741909,512 ,4.22,45482
Pandemonium,Lauren Oliver,Hardcover,978315741910,375 ,4.06,201894
How to Win Friends and Influence People,Dale Carnegie,Paperback,978315741911,288 ,4.16,396428
The Color of Magic,Terry Pratchett,Hardcover,978315741912,228 ,3.99,258924
The Hunt for Red October,Tom Clancy,Paperback,978315741913,432 ,4.04,299770
"84, Charing Cross Road",Helene Hanff,Paperback,978315741914,97 ,4.19,33694
The Gargoyle,Andrew Davidson,Paperback,978315741915,465 ,3.97,39945
The Wedding,Nicholas Sparks,Paperback,978315741916,276 ,3.98,129850
Trainspotting,Irvine Welsh,Paperback,978315741917,430 ,4.09,121242
Geek Love,Katherine Dunn,Paperback,978315741918,348 ,3.98,48257
The Passage,Justin Cronin,Hardcover,978315741919,766 ,4.04,159339
A Connecticut Yankee in King Arthur's Court,Mark Twain,Paperback,978315741920,480 ,3.77,84898
The Bridges of Madison County,Robert James Waller,Mass Market Paperback,978315741921,224 ,3.57,68813
The 7 Habits of Highly Effective People: Powerful Lessons in Personal Change,Stephen R. Covey,Paperback,978315741922,372 ,4.07,385026
The Millennium Trilogy,Stieg Larsson|Reg Keeland,Box Set,978315741923,1531 ,4.47,41447
Lover Mine,J.R. Ward,Hardcover,978315741924,528 ,4.41,95524
How Green Was My Valley,Richard Llewellyn,Paperback,978315741925,448 ,4.16,12962
The Story of Edgar Sawtelle,David Wroblewski,Hardcover,978315741926,566 ,3.61,82858
Wild Swans: Three Daughters of China,Jung Chang,Paperback,978315741927,562 ,4.24,75426
The City of Ember,Jeanne DuPrau,Paperback,978315741928,270 ,3.86,219871
Dead as a Doornail,Charlaine Harris,Mass Market Paperback,978315741929,297 ,4.01,185032
On Writing: A Memoir of the Craft,Stephen King,Mass Market Paperback,978315741930,320 ,4.32,177368
Faefever,Karen Marie Moning,Hardcover,978315741931,327 ,4.33,82901
"Roll of Thunder, Hear My Cry",Mildred D. Taylor,Paperback,978315741932,288 ,3.81,102697
Thoughtless,S.C. Stephens,Paperback,978315741933,530 ,4.11,128342
Where the Heart Is,Billie Letts,Paperback,978315741934,376 ,4.01,219231
All Together Dead,Charlaine Harris,Hardcover,978315741935,323 ,4.05,178993
Easy,Tammara Webber,Paperback,978315741936,336 ,4.1,202232
Mystic River,Dennis Lehane,Paperback,978315741937,416 ,4.19,107014
The Awakening / The Struggle,L.J. Smith,Paperback,978315741938,492 ,3.67,74918
From Dead to Worse,Charlaine Harris,Hardcover,978315741939,359 ,4.01,166944
The Sorrows of Young Werther,Johann Wolfgang von Goethe|Burton Pike|Edla Valdna,Paperback,978315741940,149 ,3.65,62849
Beach Music,Pat Conroy,Paperback,978315741941,592 ,4.14,39263
A Walk in the Woods,Bill Bryson,Mass Market Paperback,978315741942,397 ,4.05,297320
A Moveable Feast,Ernest Hemingway,Paperback,978315741943,192 ,4.04,99723
Emma,Jane Austen|Fiona Stafford,Paperback,978315741944,474 ,3.99,545845
On the Beach,Nevil Shute,Paperback,978315741945,296 ,3.93,30399
Fantasy Lover,Sherrilyn Kenyon,Mass Market Paperback,978315741946,337 ,4.17,78981
The Bonfire of the Vanities,Tom Wolfe,Paperback,978315741947,690 ,3.83,60784
The Pact,Jodi Picoult,Paperback,978315741948,512 ,4,247614
Invisible Monsters Remix,Chuck Palahniuk,Hardcover,978315741949,302 ,4,107428
Sonnets,William Shakespeare|Katherine Duncan-Jones,Paperback,978315741950,488 ,4.24,71353
Onyx,Jennifer L. Armentrout,Paperback,978315741951,366 ,4.32,129477
Macbeth,William Shakespeare|Antoni Cimolino|Shelagh O'Brien,Mass Market Paperback,978315741952,349 ,3.89,578586
Red Queen,Victoria Aveyard,Hardcover,978315741953,383 ,4.07,400348
The Rime of the Ancient Mariner,Samuel Taylor Coleridge|Gustave Doré,Paperback,978315741954,77 ,3.93,44556
Bitten,Kelley Armstrong,Mass Market Paperback,978315741955,436 ,4.05,83132
Wings,Aprilynne Pike,Hardcover,978315741956,290 ,3.75,69042
Tiger's Curse,Colleen Houck,Hardcover,978315741957,403 ,4.06,53475
Beauty: A Retelling of the Story of Beauty and the Beast,Robin McKinley,Paperback,978315741958,256 ,4.05,64443
Deception Point,Dan Brown,Paperback,978315741959,556 ,3.69,526056
The Amulet of Samarkand,Jonathan Stroud,Hardcover,978315741960,462 ,4,101741
Holy Bible: New International Version,Anonymous,Hardcover,978315741961,1248 ,4.59,54504
Choke,Chuck Palahniuk,Paperback,978315741962,293 ,3.7,171921
The Goldfinch,Donna Tartt,Hardcover,978315741963,771 ,3.89,539844
Still Life with Woodpecker,Tom Robbins,Paperback,978315741964,288 ,4.04,64735
Redwall,Brian Jacques,Paperback,978315741965,352 ,4.12,91052
"These Is My Words: The Diary of Sarah Agnes Prine, 1881-1901, Arizona Territories",Nancy E. Turner,Paperback,978315741966,384 ,4.34,59214
The Bhagavad Gita,Krishna-Dwaipayana Vyasa|Simon Brodbeck|Juan Mascaró,Paperback,978315741967,160 ,4.1,41256
Orlando,Virginia Woolf,Paperback,978315741968,228 ,3.86,45065
The Dark Tower,Stephen King,Paperback,978315741969,1050 ,4.28,120704
Dead and Gone,Charlaine Harris,Hardcover,978315741970,312 ,4.01,162275
Passion,Lauren Kate,Hardcover,978315741971,420 ,3.89,133696
Mort,Terry Pratchett,Mass Market Paperback,978315741972,243 ,4.23,161660
Unearthly,Cynthia Hand,Hardcover,978315741973,435 ,4.04,113482
Red Rising,Pierce Brown,Hardcover,978315741974,382 ,4.27,170248
Pale Fire,Vladimir Nabokov,Paperback,978315741975,246 ,4.2,34084
The House of Mirth,Edith Wharton|Nina Bawden,Paperback,978315741976,351 ,3.95,72758
Around the World in Eighty Days,Jules Verne|Michael Glencross|Brian W. Aldiss,Paperback,978315741977,252 ,3.91,153862
The Five Love Languages: How to Express Heartfelt Commitment to Your Mate,Gary Chapman,Paperback,978315741978,204 ,4.24,219735
Blue Bloods,Melissa de la Cruz,Hardcover,978315741979,302 ,3.68,125408
Survivor,Chuck Palahniuk,Paperback,978315741980,289 ,3.93,94057
Along for the Ride,Sarah Dessen,Hardcover,978315741981,383 ,4.07,173879
Every Day,David Levithan,Hardcover,978315741982,322 ,3.97,167162
Beastly,Alex Flinn,Hardcover,978315741983,304 ,3.84,163721
The Brief Wondrous Life of Oscar Wao,Junot Díaz,Hardcover,978315741984,335 ,3.9,202715
Fablehaven,Brandon Mull,Hardcover,978315741985,351 ,4.09,114053
Eleven Minutes,Paulo Coelho|Margaret Jull Costa,Paperback,978315741986,273 ,3.69,128423
All the Pretty Horses,Cormac McCarthy,Paperback,978315741987,302 ,3.98,81489
The Guardian,Nicholas Sparks,Paperback,978315741988,400 ,4.15,150356
The Horse Whisperer,Nicholas Evans,Paperback,978315741989,451 ,3.79,46466
Disgrace,J.M. Coetzee,Paperback,978315741990,220 ,3.84,70616
The Story of Ferdinand,Munro Leaf|Robert Lawson,Hardcover,978315741991,72 ,4.36,79671
We,Yevgeny Zamyatin|Clarence Brown|Евгений Замятин,Paperback,978315741992,255 ,3.95,54851
The Indigo Spell,Richelle Mead,Hardcover,978315741993,401 ,4.4,84701
The Razor's Edge,W. Somerset Maugham,Paperback,978315741994,314 ,4.18,31559
The Ruins of Gorlan,John Flanagan,Paperback,978315741995,249 ,4.21,102394
Safe Haven,Nicholas Sparks,Hardcover,978315741996,340 ,4.2,300238
Silas Marner,George Eliot,Paperback,978315741997,262 ,3.62,62322
Dead Witch Walking,Kim Harrison,Mass Market Paperback,978315741998,416 ,4.04,102278
Shutter Island,Dennis Lehane,Mass Market Paperback,978315741999,369 ,4.09,136389
This Lullaby,Sarah Dessen,Paperback,978315742000,345 ,4.03,162853
At Grave's End,Jeaniene Frost,Mass Market Paperback,978315742001,342 ,4.31,74811
Journey to the End of the Night,Louis-Ferdinand Céline|Ralph Manheim|William T. Vollmann,Paperback,978315742002,453 ,4.24,26433
Childhood's End,Arthur C. Clarke,Mass Market Paperback,978315742003,224 ,4.1,108719
"Will Grayson, Will Grayson",John Green|David Levithan,Hardcover,978315742004,310 ,3.81,291721
The Taming of the Shrew,William Shakespeare|Chris Abraham|Barry Avrich,Paperback,978315742005,291 ,3.81,142337
Into the Wild,Erin Hunter,Paperback,978315742006,288 ,4.29,63172
A Bend in the Road,Nicholas Sparks,Paperback,978315742007,341 ,4.03,129424
The Long Walk,Richard Bachman|Stephen King,Paperback,978315742008,370 ,4.11,90093
To All the Boys I've Loved Before,Jenny Han,Kindle Edition,978315742009,355 ,4.14,238276
Suzanne's Diary for Nicholas,James Patterson,Mass Market Paperback,978315742010,289 ,4.16,130001
The Hero of Ages,Brandon Sanderson,Hardcover,978315742011,572 ,4.47,193883
The Far Pavilions,M.M. Kaye,Paperback,978315742012,958 ,4.21,36997
Running with Scissors,Augusten Burroughs,Paperback,978315742013,304 ,3.71,322813
Ugly Love,Colleen Hoover,Kindle Edition,978315742014,337 ,4.28,134501
Songs of Innocence and of Experience,William Blake,Paperback,978315742015,56 ,4.11,33559
The Ocean at the End of the Lane,Neil Gaiman,Hardcover,978315742016,181 ,3.99,389929
Holy Bible: King James Version,Anonymous,Hardcover,978315742017,1590 ,4.42,191962
The Runaway Jury,John Grisham,Paperback,978315742018,358 ,3.97,239575
Smilla's Sense of Snow,Peter Høeg|Tiina Nunnally,Paperback,978315742019,469 ,3.73,35527
Wizard and Glass,Stephen King|Dave McKean,Paperback,978315742020,845 ,4.25,138395
Hex Hall,Rachel Hawkins,Hardcover,978315742021,323 ,3.96,121025
Nightshade,Andrea Cremer,Hardcover,978315742022,452 ,4.03,75181
The Maltese Falcon,Dashiell Hammett,Paperback,978315742023,213 ,3.92,74096
Point of Retreat,Colleen Hoover,ebook,978315742024,215 ,4.29,131996
White Noise,Don DeLillo,Paperback,978315742025,320 ,3.86,76979
Light in August,William Faulkner,Paperback,978315742026,507 ,3.94,47743
Walks Away Woman,Ki Longfellow,Paperback,978315742027,254 ,4.32,827
The Devil Wears Prada,Lauren Weisberger,Paperback,978315742028,432 ,3.72,727638
A Passage to India,E.M. Forster|Oliver Stallybrass|Pankaj Mishra,Paperback,978315742029,376 ,3.68,59272
The Last of the Mohicans,James Fenimore Cooper,Paperback,978315742030,410 ,3.7,79051
To Live and Die in Fantasyland,Ben Peller,Paperback,978315742031,320 ,4.34,86
The Man Without Qualities,Robert Musil|Burton Pike|Sophie Wilkins,Hardcover,978315742032,1774 ,4.24,4808
Lock and Key,Sarah Dessen,Hardcover,978315742033,432 ,4.01,133719
Sometimes a Great Notion,Ken Kesey,Paperback,978315742034,640 ,4.25,17767
The Iron Queen,Julie Kagawa,Paperback,978315742035,384 ,4.24,89227
Evernight,Claudia Gray,Paperback,978315742036,327 ,3.64,70087
Lover Enshrined,J.R. Ward,Mass Market Paperback,978315742037,534 ,4.12,98011
A River Runs Through It and Other Stories,Norman Maclean|Annie Proulx,Paperback,978315742038,217 ,4.17,19494
Cry Wolf,Patricia Briggs,Mass Market Paperback,978315742039,294 ,4.12,76933
On Dublin Street,Samantha Young,Kindle Edition,978315742040,372 ,4.23,154023
School's Out—Forever,James Patterson,Hardcover,978315742041,409 ,4.15,107398
"Gödel, Escher, Bach: An Eternal Golden Braid",Douglas R. Hofstadter,Paperback,978315742042,777 ,4.3,36834
Valley of the Dolls,Jacqueline Susann,Paperback,978315742043,442 ,3.72,42307
Birdsong,Sebastian Faulks,Paperback,978315742044,483 ,4.08,60273
The Blood of Olympus,Rick Riordan,Hardcover,978315742045,516 ,4.42,151711
The Short Second Life of Bree Tanner,Stephenie Meyer,Hardcover,978315742046,178 ,3.5,167390
Saving the World and Other Extreme Sports,James Patterson,Hardcover,978315742047,405 ,4.15,83926
Let the Right One In,John Ajvide Lindqvist,Hardcover,978315742048,513 ,4.07,74544
The Kitchen God's Wife,Amy Tan,Paperback,978315742049,416 ,3.99,66434
A Doll's House,Henrik Ibsen|Michael   Meyer,Paperback,978315742050,122 ,3.7,89434
For One More Day,Mitch Albom,Hardcover,978315742051,197 ,4.09,112959
Awakened,P.C. Cast|Kristin Cast,Hardcover,978315742052,290 ,4.02,114671
A Study in Scarlet,Arthur Conan Doyle,Paperback,978315742053,123 ,4.15,255957
Percy Jackson and the Olympians,Rick Riordan,Paperback,978315742054,1032 ,4.58,35949
The Stinky Cheese Man and Other Fairly Stupid Tales,Jon Scieszka|Lane Smith,Hardcover,978315742055,51 ,4.2,85750
Twenty Love Poems and a Song of Despair,Pablo Neruda|W.S. Merwin|Cristina García,Paperback,978315742056,70 ,4.31,41046
The Winds of War,Herman Wouk,Paperback,978315742057,896 ,4.37,46862
The Drawing of the Three,Stephen King,Paperback,978315742058,463 ,4.23,181856
Helter Skelter: The True Story of the Manson Murders,Vincent Bugliosi|Curt Gentry,Paperback,978315742059,689 ,4.01,106463
Memnoch the Devil,Anne Rice,Hardcover,978315742060,354 ,3.74,70915
Across the Universe,Beth Revis,Hardcover,978315742061,399 ,3.77,106315
The Great Divorce,C.S. Lewis,Paperback,978315742062,146 ,4.28,87889
The Murder of Roger Ackroyd,Agatha Christie,Hardcover,978315742063,288 ,4.22,104751
Forbidden,Tabitha Suzuma,Paperback,978315742064,418 ,4.05,47391
Shadow and Bone,Leigh Bardugo,Hardcover,978315742065,358 ,4.05,191685
Fall on Your Knees,Ann-Marie MacDonald,Paperback,978315742066,508 ,3.95,57167
The Girl on the Train,Paula Hawkins,Hardcover,978315742067,323 ,3.9,1569702
Blue Moon,Alyson Noel,Paperback,978315742068,284 ,3.6,81338
Swan Song,Robert R. McCammon,Mass Market Paperback,978315742069,956 ,4.28,47433
The Fountainhead,Ayn Rand|Leonard Peikoff,Mass Market Paperback,978315742070,704 ,3.86,272505
Bloodfever,Karen Marie Moning,Hardcover,978315742071,303 ,4.29,85013
Anansi Boys,Neil Gaiman,Mass Market Paperback,978315742072,387 ,4.02,168668
The Tempest,William Shakespeare|David Lindley|Israel Gollancz|Barbara A. Mowat|Jeremy Herrin|Paul Werstine|Ian Russell,Mass Market Paperback,978315742073,218 ,3.81,150538
Half-Blood,Jennifer L. Armentrout,Paperback,978315742074,281 ,4.15,70492
The Iron Daughter,Julie Kagawa,Paperback,978315742075,359 ,4.12,104459
Magician,Raymond E. Feist,Paperback,978315742076,681 ,4.33,52695
The Valley of Horses,Jean M. Auel,Mass Market Paperback,978315742077,544 ,3.99,65634
The Pilgrim's Progress,John Bunyan,Paperback,978315742078,324 ,3.99,88570
A Town Like Alice,Nevil Shute,Paperback,978315742079,359 ,4.13,43976
This Present Darkness,Frank E. Peretti,Paperback,978315742080,376 ,4.23,82812
Rules of Attraction,Simone Elkeles,Paperback,978315742081,336 ,4.21,76282
"Life, the Universe and Everything",Douglas Adams,Paperback,978315742082,224 ,4.2,168939
Storm Front,Jim Butcher,Mass Market Paperback,978315742083,322 ,4.02,243814
Stones from the River,Ursula Hegi,Paperback,978315742084,525 ,4.08,86615
Maus I: A Survivor's Tale: My Father Bleeds History,Art Spiegelman,Hardcover,978315742085,159 ,4.34,217557
Naked Lunch,William S. Burroughs|James Grauerholz|Barry  Miles,Paperback,978315742086,289 ,3.45,66315
Eugene Onegin,Alexander Pushkin|James E. Falen,Paperback,978315742087,240 ,4.09,43002
Origin,Jennifer L. Armentrout,Paperback,978315742088,364 ,4.42,75166
The Fall,Albert Camus|Justin O'Brien,Paperback,978315742089,147 ,4.06,56735
Forever,Maggie Stiefvater,Hardcover,978315742090,388 ,3.91,97059
Tales of H.P. Lovecraft,H.P. Lovecraft|Joyce Carol Oates,Paperback,978315742091,352 ,4.2,5384
Dirk Gently's Holistic Detective Agency,Douglas Adams,Mass Market Paperback,978315742092,306 ,3.98,104717
The Trigger: Hunting the Assassin Who Brought the World to War,Tim Butcher,Hardcover,978315742093,352 ,4.12,929
Destined for an Early Grave,Jeaniene Frost,Mass Market Paperback,978315742094,355 ,4.34,72738
"Go, Dog. Go!",P.D. Eastman,Hardcover,978315742095,72 ,4.09,71187
Practical Magic,Alice Hoffman,Paperback,978315742096,286 ,3.8,51826
The Mysterious Benedict Society,Trenton Lee Stewart|Carson Ellis,Hardcover,978315742097,485 ,4.15,105260
The Tin Drum,Günter Grass,Paperback,978315742098,567 ,3.96,34435
The Time Quartet Box Set,Madeleine L'Engle|Peter Sís,Paperback,978315742099,750 ,4.35,10835
Timeline,Michael Crichton,Mass Market Paperback,978315742100,489 ,3.84,170382
Exotic Neurotic,Kenneth Jarrett Singleton,Paperback,978315742101,108 ,4.46,289
Mother Night,Kurt Vonnegut,Paperback,978315742102,282 ,4.21,65182
The Beekeeper's Apprentice,Laurie R. King,Paperback,978315742103,341 ,4.07,59997
Hogfather,Terry Pratchett,Paperback,978315742104,432 ,4.23,64651
A Dirty Job,Christopher Moore,Hardcover,978315742105,387 ,4.08,92415
The Collector,John Fowles|Andrés Barba,Paperback,978315742106,283 ,3.99,42915
The Rescue,Nicholas Sparks,Paperback,978315742107,352 ,4.1,156936
The Glass Castle,Jeannette Walls,Paperback,978315742108,288 ,4.25,742920
Empire of Storms,Sarah J. Maas,Hardcover,978315742109,693 ,4.57,113673
The Color of Water: A Black Man's Tribute to His White Mother,James McBride,Paperback,978315742110,291 ,4.08,91017
Brave New World / Brave New World Revisited,Aldous Huxley|Christopher Hitchens,Paperback,978315742111,340 ,4.16,121768
Hearts in Atlantis,Stephen King,Paperback,978315742112,640 ,3.81,76495
House of Leaves,Mark Z. Danielewski,Paperback,978315742113,705 ,4.12,100811
The Client,John Grisham,Paperback,978315742114,483 ,3.99,349674
Empire Falls,Richard Russo,Paperback,978315742115,483 ,3.92,98672
Fallen Too Far,Abbi Glines,Kindle Edition,978315742116,300 ,4.2,150511
Starcrossed,Josephine Angelini,Hardcover,978315742117,487 ,4.07,58309
